id,name,description_en,manufacturer,part_number,price,currency,price_usd,us_rrp_usd,price_ratio,in_stock,url,category_group,subcategory,subcategory_description
80264,מעבד Intel Core i7-14700KF up to 5.50GHz 33MB Cache Raptor Lake Tray,Intel Core i7-14700KF up to 5.50GHz 33MB Cache Raptor Lake Tray,Intel,,1425,ILS,460.28,330,1.39,True,https://www.ivory.co.il/catalog.php?id=80264,CPU,intel-cpus,Intel CPUs
80270,מעבד Intel Core i7-14700K up to 5.50GHz 33MB Cache Raptor Lake Tray,Intel Core i7-14700K up to 5.50GHz 33MB Cache Raptor Lake Tray,Intel,,1499,ILS,484.18,350,1.38,True,https://www.ivory.co.il/catalog.php?id=80270,CPU,intel-cpus,Intel CPUs
80276,מעבד Intel Core i9-14900KF up to 5.60GHz 36MB Cache Raptor Lake Tray,Intel Core i9-14900KF up to 5.60GHz 36MB Cache Raptor Lake Tray,Intel,,1939,ILS,626.3,540,1.16,True,https://www.ivory.co.il/catalog.php?id=80276,CPU,intel-cpus,Intel CPUs
80279,מעבד Intel Core i9-14900KF up to 5.60GHz 36MB Cache Raptor Lake Box,Intel Core i9-14900KF up to 5.60GHz 36MB Cache Raptor Lake Box,Intel,,1989,ILS,642.45,560,1.15,True,https://www.ivory.co.il/catalog.php?id=80279,CPU,intel-cpus,Intel CPUs
85512,מעבד Intel Core i5-14400F up to 4.70GHz 20MB Cache Raptor Lake Box,Intel Core i5-14400F up to 4.70GHz 20MB Cache Raptor Lake Box,Intel,,750,ILS,242.25,170,1.43,True,https://www.ivory.co.il/catalog.php?id=85512,CPU,intel-cpus,Intel CPUs
85503,מעבד Intel Core i3-14100 up to 4.70GHz 12MB Cache Raptor Lake Tray,Intel Core i3-14100 up to 4.70GHz 12MB Cache Raptor Lake Tray,Intel,BX8071514100,550,ILS,177.65,130,1.37,True,https://www.ivory.co.il/catalog.php?id=85503,CPU,intel-cpus,Intel CPUs
85533,מעבד Intel Core i7-14700F up to 5.40GHz 33MB Cache Raptor Lake Box,Intel Core i7-14700F up to 5.40GHz 33MB Cache Raptor Lake Box,Intel,BX8071514700F,1295,ILS,418.29,350,1.2,True,https://www.ivory.co.il/catalog.php?id=85533,CPU,intel-cpus,Intel CPUs
85548,מעבד Intel Core i9-14900 up to 5.80GHz 36MB Cache Raptor Lake Tray,Intel Core i9-14900 up to 5.80GHz 36MB Cache Raptor Lake Tray,Intel,,1989,ILS,642.45,560,1.15,True,https://www.ivory.co.il/catalog.php?id=85548,CPU,intel-cpus,Intel CPUs
95709,מעבד Intel Core i9-14900KS up to 6.20GHz 36MB Cache Raptor Lake Tray,Intel Core i9-14900KS up to 6.20GHz 36MB Cache Raptor Lake Tray,Intel,,2990,ILS,965.77,750,1.29,True,https://www.ivory.co.il/catalog.php?id=95709,CPU,intel-cpus,Intel CPUs
113299,"מעבד Intel Core Ultra 5 245K 24M Cache, up to 5.20GHz Box","Intel Core Ultra 5 245K 24M Cache, up to 5.20GHz Box",Intel,,890,ILS,287.47,350,0.82,True,https://www.ivory.co.il/catalog.php?id=113299,CPU,intel-cpus,Intel CPUs
113297,"מעבד Intel Core Ultra 5 245K 24M Cache, up to 5.20GHz Tray","Intel Core Ultra 5 245K 24M Cache, up to 5.20GHz Tray",Intel,Core Ultra 5 245K,920,ILS,297.16,330,0.9,True,https://www.ivory.co.il/catalog.php?id=113297,CPU,intel-cpus,Intel CPUs
113303,"מעבד Intel Core Ultra 7 265KF 30M Cache, up to 5.50GHz Box","Intel Core Ultra 7 265KF 30M Cache, up to 5.50GHz Box",Intel,Core Ultra 7 265KF,1305,ILS,421.51,450,0.94,True,https://www.ivory.co.il/catalog.php?id=113303,CPU,intel-cpus,Intel CPUs
126186,"מעבד Intel Core Ultra 5 225F 20M Cache, up to 4.90GHz Tray","Intel Core Ultra 5 225F 20M Cache, up to 4.90GHz Tray",Intel,Core Ultra 5 225F,625,ILS,201.88,300,0.67,True,https://www.ivory.co.il/catalog.php?id=126186,CPU,intel-cpus,Intel CPUs
126189,"מעבד Intel Core Ultra 5 225F 20M Cache, up to 4.90GHz Box","Intel Core Ultra 5 225F 20M Cache, up to 4.90GHz Box",Intel,Core Ultra 5 225F,665,ILS,214.8,320,0.67,True,https://www.ivory.co.il/catalog.php?id=126189,CPU,intel-cpus,Intel CPUs
126192,"מעבד Intel Core Ultra 5 225 20M Cache, up to 4.90GHz Tray","Intel Core Ultra 5 225 20M Cache, up to 4.90GHz Tray",Intel,Core Ultra 5 225,780,ILS,251.94,290,0.87,True,https://www.ivory.co.il/catalog.php?id=126192,CPU,intel-cpus,Intel CPUs
126195,"מעבד Intel Core Ultra 5 225 20M Cache, up to 4.90GHz Box","Intel Core Ultra 5 225, 20MB Cache, up to 4.90GHz, Boxed",Intel,Unknown,850,ILS,274.55,450,0.61,True,https://www.ivory.co.il/catalog.php?id=126195,CPU,intel-cpus,Intel CPUs
126198,"מעבד Intel Core Ultra 5 235 24M Cache, up to 5.00GHz Tray","Intel Core Ultra 5 235, 24MB Cache, up to 5.00GHz, Tray",Intel,Unknown,1115,ILS,360.15,430,0.84,True,https://www.ivory.co.il/catalog.php?id=126198,CPU,intel-cpus,Intel CPUs
126201,"מעבד Intel Core Ultra 5 235 24M Cache, up to 5.00GHz Box","Intel Core Ultra 5 235, 24MB Cache, up to 5.00GHz, Boxed",Intel,Unknown,1115,ILS,360.15,470,0.77,True,https://www.ivory.co.il/catalog.php?id=126201,CPU,intel-cpus,Intel CPUs
126204,"מעבד Intel Core Ultra 5 245 24M Cache, up to 5.10GHz Tray","Intel Core Ultra 5 245, 24MB Cache, up to 5.10GHz, Tray",Intel,Unknown,1245,ILS,402.13,480,0.84,True,https://www.ivory.co.il/catalog.php?id=126204,CPU,intel-cpus,Intel CPUs
126207,"מעבד Intel Core Ultra 7 265F 30M Cache, up to 5.30GHz Tray","Intel Core Ultra 7 265F, 30MB Cache, up to 5.30GHz, Tray",Intel,Unknown,1430,ILS,461.89,580,0.8,True,https://www.ivory.co.il/catalog.php?id=126207,CPU,intel-cpus,Intel CPUs
126210,"מעבד Intel Core Ultra 7 265F 30M Cache, up to 5.30GHz Box","Intel Core Ultra 7 265F 30M Cache, up to 5.30GHz Box",Intel,Ultra 7 265F,1450,ILS,468.35,620,0.76,True,https://www.ivory.co.il/catalog.php?id=126210,CPU,intel-cpus,Intel CPUs
126222,"מעבד Intel Core Ultra 9 285 36M Cache, up to 5.60GHz Box","Intel Core Ultra 9 285 36M Cache, up to 5.60GHz Box",Intel,Ultra 9 285,2645,ILS,854.34,800,1.07,True,https://www.ivory.co.il/catalog.php?id=126222,CPU,intel-cpus,Intel CPUs
138819,מציאון - מעבד Intel Pentium G4400 3.30GHz 3MB Skylake Tray - מוחדש,Refurbished Intel Pentium G4400 3.30GHz 3MB Skylake Tray,Intel,Pentium G4400,145,ILS,46.84,40,1.17,True,https://www.ivory.co.il/catalog.php?id=138819,CPU,intel-cpus,Intel CPUs
138801,מציאון - מעבד Intel Core i7-7740X up to 4.50GHz 8MB Kaby Lake Tray - מוחדש,Refurbished Intel Core i7-7740X up to 4.50GHz 8MB Kaby Lake Tray,Intel,Core i7-7740X,520,ILS,167.96,150,1.12,True,https://www.ivory.co.il/catalog.php?id=138801,CPU,intel-cpus,Intel CPUs
142547,מציאון - מעבד Intel Pentium G4400 3.30GHz 3MB Skylake Tray - מוחדש,Refurbished Intel Pentium G4400 3.30GHz 3MB Skylake Tray,Intel,Pentium G4400,170,ILS,54.91,40,1.37,True,https://www.ivory.co.il/catalog.php?id=142547,CPU,intel-cpus,Intel CPUs
142730,מציאון - מעבד Intel Pentium Gold G6405 Comet lake Box - מוחדש,Refurbished Intel Pentium Gold G6405 Comet Lake Box CPU,Intel,G6405,180,ILS,58.14,60,0.97,True,https://www.ivory.co.il/catalog.php?id=142730,CPU,intel-cpus,Intel CPUs
141740,מציאון - מעבד Intel Core i3-4130 Haswell Tray - מוחדש,Refurbished Intel Core i3-4130 Haswell Tray CPU,Intel,i3-4130,220,ILS,71.06,30,2.37,True,https://www.ivory.co.il/catalog.php?id=141740,CPU,intel-cpus,Intel CPUs
142541,מציאון - מעבד Intel Core i5-6400 Skylake Tray - מוחדש,Refurbished Intel Core i5-6400 Skylake Tray CPU,Intel,i5-6400,420,ILS,135.66,50,2.71,True,https://www.ivory.co.il/catalog.php?id=142541,CPU,intel-cpus,Intel CPUs
141737,מציאון - מעבד Intel Pentium G3220 Haswell Tray - מוחדש,Refurbished Intel Pentium G3220 Haswell Tray CPU,Intel,G3220,180,ILS,58.14,20,2.91,True,https://www.ivory.co.il/catalog.php?id=141737,CPU,intel-cpus,Intel CPUs
30398,מעבד AMD Ryzen™ 3 3200G with Radeon™ Vega 8 Graphics Box,AMD Ryzen™ 3 3200G with Radeon™ Vega 8 Graphics Box,AMD,Ryzen 3 3200G,298,ILS,96.25,99,0.97,True,https://www.ivory.co.il/catalog.php?id=30398,CPU,amd-cpus,AMD CPUs
39983,מעבד AMD Ryzen 7 5700G 8 Core Box,AMD Ryzen 7 5700G 8 Core Box,AMD,Ryzen 7 5700G,790,ILS,255.17,189,1.35,True,https://www.ivory.co.il/catalog.php?id=39983,CPU,amd-cpus,AMD CPUs
57254,מעבד AMD Ryzen 7 7700X 4.5GHz 32MB AM5 Box,AMD Ryzen 7 7700X 4.5GHz 32MB AM5 Box,AMD,Ryzen 7 7700X,1354,ILS,437.34,349,1.25,True,https://www.ivory.co.il/catalog.php?id=57254,CPU,amd-cpus,AMD CPUs
57251,מעבד AMD Ryzen 5 7600X 4.7GHz BOX,AMD Ryzen 5 7600X 4.7GHz BOX,AMD,Ryzen 5 7600X,990,ILS,319.77,229,1.4,True,https://www.ivory.co.il/catalog.php?id=57251,CPU,amd-cpus,AMD CPUs
69566,מעבד AMD Ryzen 7 7800X3D 8 Core Box,AMD Ryzen 7 7800X3D 8 Core Box,AMD,Ryzen 7 7800X3D,1715,ILS,553.95,359,1.54,True,https://www.ivory.co.il/catalog.php?id=69566,CPU,amd-cpus,AMD CPUs
72257,מעבד AMD Ryzen 7 7700X 4.5GHz 8MB AM5 Tray,AMD Ryzen 7 7700X 4.5GHz 8 Core AM5 Tray CPU,AMD,,975,ILS,314.93,349,0.9,True,https://www.ivory.co.il/catalog.php?id=72257,CPU,amd-cpus,AMD CPUs
72767,מעבד AMD Ryzen 5 7600X 6 Core Tray,AMD Ryzen 5 7600X 6 Core Tray CPU,AMD,,906,ILS,292.64,229,1.28,True,https://www.ivory.co.il/catalog.php?id=72767,CPU,amd-cpus,AMD CPUs
85182,מעבד AMD Ryzen 7 7700 8 Core Gaming Processor Tray,AMD Ryzen 7 7700 8 Core Gaming Processor Tray CPU,AMD,,940,ILS,303.62,329,0.92,True,https://www.ivory.co.il/catalog.php?id=85182,CPU,amd-cpus,AMD CPUs
84822,מעבד AMD Ryzen 9 7900 Gaming 12 Core Box,AMD Ryzen 9 7900 Gaming 12 Core Box CPU,AMD,,1699,ILS,548.78,419,1.31,True,https://www.ivory.co.il/catalog.php?id=84822,CPU,amd-cpus,AMD CPUs
84816,מעבד AMD Ryzen 5 7600 Gaming 6 Core Box,AMD Ryzen 5 7600 Gaming 6 Core Box CPU,AMD,,948,ILS,306.2,219,1.4,True,https://www.ivory.co.il/catalog.php?id=84816,CPU,amd-cpus,AMD CPUs
86889,מעבד AMD Ryzen 5 8600G up to 5.0GHz 16MB Cache 6 Cores Box,AMD Ryzen 5 8600G up to 5.0GHz 16MB Cache 6 Cores Box,AMD,Ryzen 5 8600G,748,ILS,241.6,229,1.06,True,https://www.ivory.co.il/catalog.php?id=86889,CPU,amd-cpus,AMD CPUs
86892,מעבד AMD Ryzen 5 8500G up to 5.0GHz 16MB Cache 6 Cores Box,AMD Ryzen 5 8500G up to 5.0GHz 16MB Cache 6 Cores Box,AMD,Ryzen 5 8500G,790,ILS,255.17,199,1.28,True,https://www.ivory.co.il/catalog.php?id=86892,CPU,amd-cpus,AMD CPUs
86895,מעבד AMD Ryzen 5 5600GT Box,AMD Ryzen 5 5600GT Box,AMD,Ryzen 5 5600GT,540,ILS,174.42,130,1.34,True,https://www.ivory.co.il/catalog.php?id=86895,CPU,amd-cpus,AMD CPUs
89571,מעבד AMD Ryzen 7 7700 up to 5.3GHz 32MB Cache 8 Cores Box,AMD Ryzen 7 7700 up to 5.3GHz 32MB Cache 8 Cores Box,AMD,Ryzen 7 7700,1343,ILS,433.79,329,1.32,True,https://www.ivory.co.il/catalog.php?id=89571,CPU,amd-cpus,AMD CPUs
101822,מעבד AMD Ryzen 5 7600 Gaming 6 Core Tray,AMD Ryzen 5 7600 Gaming 6 Core Tray,AMD,Ryzen 5 7600,899,ILS,290.38,200,1.45,True,https://www.ivory.co.il/catalog.php?id=101822,CPU,amd-cpus,AMD CPUs
105808,מעבד AMD Ryzen 9 9950X Box,AMD Ryzen 9 9950X Box CPU,AMD,Ryzen 9 9950X,2433,ILS,785.86,999,0.79,True,https://www.ivory.co.il/catalog.php?id=105808,CPU,amd-cpus,AMD CPUs
105814,מעבד AMD Ryzen 9 9900X Box,AMD Ryzen 9 9900X Box CPU,AMD,Ryzen 9 9900X,1850,ILS,597.55,699,0.85,True,https://www.ivory.co.il/catalog.php?id=105814,CPU,amd-cpus,AMD CPUs
105816,מעבד AMD Ryzen 7 9700X Box,AMD Ryzen 7 9700X Box CPU,AMD,Ryzen 7 9700X,1179,ILS,380.82,499,0.76,True,https://www.ivory.co.il/catalog.php?id=105816,CPU,amd-cpus,AMD CPUs
105818,מעבד AMD Ryzen 5 9600X Box,AMD Ryzen 5 9600X Box CPU,AMD,Ryzen 5 9600X,992,ILS,320.42,299,1.07,True,https://www.ivory.co.il/catalog.php?id=105818,CPU,amd-cpus,AMD CPUs
108908,מעבד AMD Ryzen 7 7800X3D 8 Core Tray,AMD Ryzen 7 7800X3D 8 Core Tray CPU,AMD,Ryzen 7 7800X3D,1505,ILS,486.12,350,1.39,True,https://www.ivory.co.il/catalog.php?id=108908,CPU,amd-cpus,AMD CPUs
109058,מעבד AMD Ryzen 5 9600X Tray,AMD Ryzen 5 9600X Tray CPU,AMD,Ryzen 5 9600X,992,ILS,320.42,300,1.07,True,https://www.ivory.co.il/catalog.php?id=109058,CPU,amd-cpus,AMD CPUs
109064,מעבד AMD Ryzen 7 9700X Tray,AMD Ryzen 7 9700X Tray CPU,AMD,Ryzen 7 9700X,1179,ILS,380.82,400,0.95,True,https://www.ivory.co.il/catalog.php?id=109064,CPU,amd-cpus,AMD CPUs
115177,מעבד AMD Ryzen 7 9800X3D Box,AMD Ryzen 7 9800X3D Box CPU,AMD,Ryzen 7 9800X3D,2233,ILS,721.26,600,1.2,True,https://www.ivory.co.il/catalog.php?id=115177,CPU,amd-cpus,AMD CPUs
119039,מעבד AMD Ryzen 7 9800X3D Tray,AMD Ryzen 7 9800X3D Tray CPU,AMD,Ryzen 7 9800X3D,2025,ILS,654.08,580,1.13,True,https://www.ivory.co.il/catalog.php?id=119039,CPU,amd-cpus,AMD CPUs
126060,מעבד AMD Ryzen 5 7500F Tray,AMD Ryzen 5 7500F Tray CPU,AMD,Ryzen 5 7500F,609,ILS,196.71,150,1.31,True,https://www.ivory.co.il/catalog.php?id=126060,CPU,amd-cpus,AMD CPUs
128577,מעבד AMD Ryzen 9 9950X3D Box,AMD Ryzen 9 9950X3D Box CPU,AMD,Ryzen 9 9950X3D,3217,ILS,1039.09,800,1.3,True,https://www.ivory.co.il/catalog.php?id=128577,CPU,amd-cpus,AMD CPUs
129267,מעבד AMD Ryzen 9 9950X3D Tray,AMD Ryzen 9 9950X3D Tray CPU,AMD,Ryzen 9 9950X3D,3149,ILS,1017.13,780,1.3,True,https://www.ivory.co.il/catalog.php?id=129267,CPU,amd-cpus,AMD CPUs
130800,מעבד AMD Ryzen 9 9900X Tray,AMD Ryzen 9 9900X Tray CPU,AMD,Ryzen 9 9900X,1799,ILS,581.08,600,0.97,True,https://www.ivory.co.il/catalog.php?id=130800,CPU,amd-cpus,AMD CPUs
133776,מעבד AMD Ryzen 7 5800X Tray,AMD Ryzen 7 5800X Tray CPU,AMD,Ryzen 7 5800X,890,ILS,287.47,240,1.2,True,https://www.ivory.co.il/catalog.php?id=133776,CPU,amd-cpus,AMD CPUs
133779,מעבד AMD Ryzen 5 5600GT Tray,AMD Ryzen 5 5600GT Tray CPU,AMD,Ryzen 5 5600GT,505,ILS,163.12,130,1.25,True,https://www.ivory.co.il/catalog.php?id=133779,CPU,amd-cpus,AMD CPUs
45008,מעבד AMD Ryzen 3 PRO 4350G Tray,AMD Ryzen 3 PRO 4350G Tray CPU,AMD,Ryzen 3 PRO 4350G,315,ILS,101.75,150,0.68,True,https://www.ivory.co.il/catalog.php?id=45008,CPU,amd-cpus,AMD CPUs
147253,מעבד AMD Ryzen 9 9900X3D Tray,AMD Ryzen 9 9900X3D Tray CPU,AMD,Ryzen 9 9900X3D,2550,ILS,823.65,800,1.03,True,https://www.ivory.co.il/catalog.php?id=147253,CPU,amd-cpus,AMD CPUs
147655,מעבד AMD Ryzen 5 7500X3D Tray,AMD Ryzen 5 7500X3D Tray CPU,AMD,Ryzen 5 7500X3D,1034,ILS,333.98,350,0.95,True,https://www.ivory.co.il/catalog.php?id=147655,CPU,amd-cpus,AMD CPUs
147658,מעבד AMD Ryzen 5 7500X3D Box,AMD Ryzen 5 7500X3D Box CPU,AMD,Ryzen 5 7500X3D,1240,ILS,400.52,370,1.08,True,https://www.ivory.co.il/catalog.php?id=147658,CPU,amd-cpus,AMD CPUs
150286,מעבד AMD Ryzen 9 9950X Tray,AMD Ryzen 9 9950X Tray CPU,AMD,Ryzen 9 9950X,2239,ILS,723.2,700,1.03,True,https://www.ivory.co.il/catalog.php?id=150286,CPU,amd-cpus,AMD CPUs
154048,מעבד AMD Ryzen 5 8400F Tray,AMD Ryzen 5 8400F Tray CPU,AMD,Ryzen 5 8400F,439,ILS,141.8,200,0.71,True,https://www.ivory.co.il/catalog.php?id=154048,CPU,amd-cpus,AMD CPUs
155824,מעבד AMD Ryzen 7 9850X3D Box,AMD Ryzen 7 9850X3D Box CPU,AMD,Ryzen 7 9850X3D,2350,ILS,759.05,600,1.27,True,https://www.ivory.co.il/catalog.php?id=155824,CPU,amd-cpus,AMD CPUs
155827,מעבד AMD Ryzen 7 9850X3D Tray,AMD Ryzen 7 9850X3D Tray CPU,AMD,Ryzen 7 9850X3D,2259,ILS,729.66,580,1.26,True,https://www.ivory.co.il/catalog.php?id=155827,CPU,amd-cpus,AMD CPUs
62097,לוח אם Gigabyte B760M DS3H DDR4,Gigabyte B760M DS3H DDR4 Motherboard,Gigabyte,B760M DS3H DDR4,439,ILS,141.8,100,1.42,True,https://www.ivory.co.il/catalog.php?id=62097,Motherboard,intel-motherboards,Intel Motherboards
83262,לוח אם MSI B760 GAMING PLUS WIFI 6E DDR5,MSI B760 GAMING PLUS WIFI 6E DDR5 Motherboard,MSI,B760 GAMING PLUS WIFI 6E DDR5,729,ILS,235.47,170,1.39,True,https://www.ivory.co.il/catalog.php?id=83262,Motherboard,intel-motherboards,Intel Motherboards
114379,לוח אם Gigabyte Z890 AORUS ELITE WIFI7 ICE ATX 1851 בצבע לבן,"Gigabyte Z890 AORUS ELITE WIFI7 ICE ATX Motherboard (White, LGA 1851)",Gigabyte,Z890 AORUS ELITE WIFI7 ICE ATX 1851,1260,ILS,406.98,400,1.02,True,https://www.ivory.co.il/catalog.php?id=114379,Motherboard,intel-motherboards,Intel Motherboards
108968,לוח אם Gigabyte H610M S2H V3 DDR4 Micro ATX,Gigabyte H610M S2H V3 DDR4 Micro ATX Motherboard,Gigabyte,H610M S2H V3 DDR4,390,ILS,125.97,80,1.57,True,https://www.ivory.co.il/catalog.php?id=108968,Motherboard,intel-motherboards,Intel Motherboards
88443,לוח אם ASUS PRIME Z790-P DDR5 ATX,ASUS PRIME Z790-P DDR5 ATX Motherboard,ASUS,PRIME Z790-P DDR5,990,ILS,319.77,220,1.45,True,https://www.ivory.co.il/catalog.php?id=88443,Motherboard,intel-motherboards,Intel Motherboards
133677,לוח אם MSI PRO Z890-A WIFI 1851 DDR5 ATX,"MSI PRO Z890-A WIFI Motherboard, LGA 1851, DDR5, ATX",MSI,PRO Z890-A WIFI,1350,ILS,436.05,370,1.18,True,https://www.ivory.co.il/catalog.php?id=133677,Motherboard,intel-motherboards,Intel Motherboards
83259,לוח אם MSI PRO B760M-A WIFI6E DDR5,"MSI PRO B760M-A WIFI6E Motherboard, DDR5",MSI,PRO B760M-A WIFI6E,620,ILS,200.26,150,1.34,True,https://www.ivory.co.il/catalog.php?id=83259,Motherboard,intel-motherboards,Intel Motherboards
133668,לוח אם Gigabyte B860 GAMING X WIFI6E 1851 DDR5 ATX,"Gigabyte B860 GAMING X WIFI6E Motherboard, LGA 1851, DDR5, ATX",Gigabyte,B860 GAMING X WIFI6E,970,ILS,313.31,250,1.25,True,https://www.ivory.co.il/catalog.php?id=133668,Motherboard,intel-motherboards,Intel Motherboards
114375,לוח אם MSI Z890 GAMING PLUS WIFI7 ATX 1851,"MSI Z890 GAMING PLUS WIFI7 Motherboard, LGA 1851, ATX",MSI,Z890 GAMING PLUS WIFI7,1145,ILS,369.84,380,0.97,True,https://www.ivory.co.il/catalog.php?id=114375,Motherboard,intel-motherboards,Intel Motherboards
86136,לוח אם MSI B760M GAMING PLUS WIFI DDR5 mATX,"MSI B760M GAMING PLUS WIFI Motherboard, DDR5, mATX",MSI,B760M GAMING PLUS WIFI,690,ILS,222.87,160,1.39,True,https://www.ivory.co.il/catalog.php?id=86136,Motherboard,intel-motherboards,Intel Motherboards
72680,לוח אם MSI Pro B760M-P 1700 mATX DDR5,MSI Pro B760M-P LGA 1700 mATX DDR5 Motherboard,MSI,Pro B760M-P,539,ILS,174.1,129,1.35,True,https://www.ivory.co.il/catalog.php?id=72680,Motherboard,intel-motherboards,Intel Motherboards
114377,לוח אם Gigabyte Z890 GAMING X WIFI7 ATX 1851,Gigabyte Z890 GAMING X WIFI7 ATX LGA 1851 Motherboard,Gigabyte,Z890 GAMING X WIFI7,1150,ILS,371.45,350,1.06,True,https://www.ivory.co.il/catalog.php?id=114377,Motherboard,intel-motherboards,Intel Motherboards
113327,לוח אם ASUS ROG STRIX Z890-A GAMING WIFI7 ATX 1851 בצבע לבן,ASUS ROG STRIX Z890-A GAMING WIFI7 ATX LGA 1851 Motherboard (White),ASUS,ROG STRIX Z890-A GAMING WIFI7,1675,ILS,541.02,400,1.35,True,https://www.ivory.co.il/catalog.php?id=113327,Motherboard,intel-motherboards,Intel Motherboards
113231,לוח אם ASUS PRIME B760M-A WIFI6 1700 DDR5 mATX,ASUS PRIME B760M-A WIFI6 LGA 1700 DDR5 mATX Motherboard,ASUS,PRIME B760M-A WIFI6,699,ILS,225.78,159,1.42,True,https://www.ivory.co.il/catalog.php?id=113231,Motherboard,intel-motherboards,Intel Motherboards
133662,לוח אם Gigabyte B860M AORUS ELITE WIFI6E ICE 1851 DDR5 mATX - צבע לבן,Gigabyte B860M AORUS ELITE WIFI6E ICE LGA 1851 DDR5 mATX Motherboard (White),Gigabyte,B860M AORUS ELITE WIFI6E ICE,975,ILS,314.93,250,1.26,True,https://www.ivory.co.il/catalog.php?id=133662,Motherboard,intel-motherboards,Intel Motherboards
